split_strategy,RMSE_val,RMSE_test,R2_val,R2_test
time,26777.738455196468,64019.33219113364,0.8631042825124062,0.7334762990071791
random,34324.93311015655,28767.2059179799,0.8406331684168549,0.7711005027375617
