model,split,RMSE,MAE,R2
RandomForest(300),test,69461.75818967498,14869.025007739618,0.6862345645135861
Lasso(alpha=10),test,72702.39681613377,21881.85050590895,0.6562750846971706
Ridge(alpha=100),test,72868.99117700823,21378.07867940415,0.654698018671827
KNN(k=5),test,79389.43402510192,21424.061604,0.590136760924103
Ridge(alpha=100),val,30739.162528792454,14060.074204629442,0.8196043196506273
Lasso(alpha=10),val,31517.08988712196,14660.92426046891,0.8103581024536346
KNN(k=5),val,40106.468359776474,13297.619313333333,0.6929062951697413
RandomForest(300),val,41051.38065720672,8375.057955541697,0.678265519013403
