model,split,RMSE,MAE,R2
LinearRegression,test,72690.92059460565,21931.424356528252,0.6563835914894889
Dummy(median),test,127486.30096631989,32116.11472666667,-0.05691630209517551
LinearRegression,val,31563.87870050682,14749.960283602903,0.8097946173287534
Dummy(median),val,73946.1956445031,18846.14674,-0.04393568290740224
